timestamp,type,channel,merchant,amount,balance_after
2025-04-21T18:18:45.498860,DEBIT,CARD_POS,Restaurant,1627.48,13372.52
2025-04-21T13:35:45.498860,DEBIT,UPI,GPay:Kirana,687.46,12685.06
2025-04-22T20:57:45.498860,DEBIT,UPI,GPay:Kirana,708.12,11976.94
2025-04-22T09:26:45.498860,DEBIT,CARD_POS,Restaurant,742.29,11234.65
2025-04-23T20:54:45.498860,DEBIT,UPI,Paytm:VegMarket,926.55,10308.1
2025-04-23T17:02:45.498860,DEBIT,WALLET_TOPUP,WalletTopup,475.42,9832.68
2025-04-25T10:57:45.498860,DEBIT,CARD_POS,DMart,896.29,8936.39
2025-04-25T12:27:45.498860,DEBIT,UPI,PhonePe:Pharmacy,1095.72,7840.67
2025-04-26T09:35:45.498860,DEBIT,CARD_POS,DMart,2325.48,5515.19
2025-04-26T14:53:45.498860,DEBIT,UPI,GPay:Kirana,1454.55,4060.64
2025-04-27T16:13:45.498860,DEBIT,CARD_POS,Restaurant,463.7,3596.94
2025-04-28T17:44:45.498860,DEBIT,CARD_POS,Restaurant,1350.18,2246.76
2025-04-28T09:24:45.498860,DEBIT,UPI,UPI:Tution,3076.91,-830.15
2025-04-29T11:16:45.498860,DEBIT,UPI,GPay:Kirana,265.19,-1095.34
2025-04-29T19:04:45.498860,DEBIT,CARD_POS,FuelStation,586.19,-1681.53
2025-04-30T15:23:45.498860,DEBIT,UPI,GPay:Friend,282.79,-1964.32
2025-05-02T11:00:45.498860,DEBIT,CARD_POS,BigBazaar,2284.91,-4249.23
2025-05-02T19:08:45.498860,DEBIT,UPI,GPay:Kirana,515.68,-4764.91
2025-05-03T10:12:45.498860,CREDIT,SALARY,Employer Pvt Ltd,36960.52,32195.61
2025-05-03T12:29:45.498860,DEBIT,UPI,GPay:Kirana,1192.88,31002.73
2025-05-03T19:28:45.498860,DEBIT,UPI,PhonePe:Pharmacy,892.33,30110.4
2025-05-05T20:43:45.498860,DEBIT,UPI,PhonePe:Pharmacy,1583.41,28526.99
2025-05-05T19:57:45.498860,DEBIT,UPI,UPI:Tution,2362.98,26164.01
2025-05-06T17:26:45.498860,DEBIT,BILL_UTILITY,Broadband,1024.49,25139.52
2025-05-06T17:02:45.498860,DEBIT,UPI,GPay:Kirana,872.3,24267.22
2025-05-07T18:43:45.498860,DEBIT,UPI,UPI:Tution,352.79,23914.43
2025-05-07T16:40:45.498860,DEBIT,UPI,PhonePe:Pharmacy,5680.99,18233.44
2025-05-07T08:05:45.498860,DEBIT,EMI_PAYMENT,EMI:Appliance,1599,16634.44
2025-05-08T09:55:45.498860,DEBIT,WALLET_TOPUP,WalletTopup,212.18,16422.26
2025-05-10T14:22:45.498860,DEBIT,CARD_POS,Restaurant,1098.41,15323.85
2025-05-10T20:25:45.498860,DEBIT,UPI,UPI:Tution,969.6,14354.25
2025-05-11T19:55:45.498860,DEBIT,UPI,GPay:Friend,1385.83,12968.42
2025-05-12T14:10:45.498860,DEBIT,UPI,PhonePe:Pharmacy,1011.18,11957.24
2025-05-12T09:08:45.498860,DEBIT,BILL_UTILITY,DTH,1550.33,10406.91
2025-05-13T11:25:45.498860,DEBIT,UPI,UPI:Tution,1203.69,9203.22
2025-05-13T15:51:45.498860,DEBIT,CARD_POS,AmazonPay,755.89,8447.33
